Number of Randoms,Number of Threads,philox (global) [best max (s)],philox (global) [worst max (s)],philox_simd (global) [best max (s)],philox_simd (global) [worst max (s)],std::mt19937 [best max (s)],std::mt19937 [worst max (s)],xoshiro256** [best max (s)],xoshiro256** [worst max (s)],philox_simd (thread local) [best max (s)],philox_simd (thread local) [worst max (s)],philox (thread local) [best max (s)],philox (thread local) [worst max (s)],at::mt19937 [best max (s)],at::mt19937 [worst max (s)],pcg64 [best max (s)],pcg64 [worst max (s)]
134217728,1,0.438846215000,0.441670268000,0.176079051000,0.177087081000,1.608931441000,1.614354946000,0.650694426000,0.652267024000,0.187868855000,0.189947632000,0.438798840000,0.441773177000,0.392547162000,0.396496351000,0.658640301000,0.661066093000
134217728,2,0.438969958000,0.440556302000,0.174588637000,0.174918895000,1.552893580000,1.573940456000,0.614526697000,0.617228399000,0.093693062000,0.094446534000,0.220416603000,0.244122758000,0.392878860000,0.395442418000,0.644016616000,0.644836010000
134217728,4,0.437707915000,0.442766035000,0.174623205000,0.177612073000,1.556663578000,1.559201866000,0.617920444000,0.624619847000,0.051044827000,0.052771661000,0.113389480000,0.117899972000,0.392703382000,0.394247595000,0.643922541000,0.647904795000
134217728,8,0.438664376000,0.442547889000,0.174885188000,0.177321034000,1.557037199000,1.574847065000,0.616770947000,0.623945742000,0.029555932000,0.044885999000,0.064148036000,0.101358883000,0.392579897000,0.397425928000,0.644046545000,0.659796556000
134217728,16,0.437866383000,0.442776278000,0.174588702000,0.178044934000,1.558694219000,1.578954801000,0.617854156000,0.619706778000,0.040057223000,0.063709674000,0.066570484000,0.089156641000,0.392939481000,0.399552830000,0.645403868000,0.650442433000
134217728,32,0.438177216000,0.442659943000,0.177091456000,0.179959827000,1.608239008000,1.616662304000,0.625824440000,0.630479095000,0.029717716000,0.038406843000,0.053343680000,0.074430548000,0.393033221000,0.405632242000,0.645315417000,0.647098740000
134217728,64,0.440226405000,0.453592751000,0.177220444000,0.180940254000,1.610009010000,1.624870946000,0.628546051000,0.630515758000,0.028297684000,0.032693116000,0.052902204000,0.065014062000,0.393401760000,0.402039374000,0.645800131000,0.650536476000
134217728,128,0.439658552000,0.444136711000,0.177769416000,0.180627925000,1.605553789000,1.614463617000,0.618273760000,0.628956719000,0.026441276000,0.029802068000,0.051103392000,0.059224501000,0.393957930000,0.398463762000,0.647228802000,0.648463837000
134217728,256,0.439693324000,0.443027246000,0.178032886000,0.183798653000,1.607426141000,1.622506351000,0.630488847000,0.635250257000,0.026500687000,0.035622378000,0.049191803000,0.055116137000,0.394822624000,0.397895842000,0.648286336000,0.651930046000
134217728,512,0.441110318000,0.445218279000,0.179278764000,0.180826956000,1.597479907000,1.610270674000,0.626341891000,0.632652719000,0.025211843000,0.027674734000,0.049446184000,0.055396349000,0.395992739000,0.402353191000,0.659671110000,0.664309218000
134217728,1024,0.444468389000,0.446507009000,0.181229870000,0.184655632000,1.608942312000,1.611601526000,0.632484499000,0.641938073000,0.025728830000,0.030923992000,0.049513625000,0.058705577000,0.398503255000,0.405201374000,0.660607387000,0.664871110000
