Number of Randoms,Number of Threads,philox (global) [best avg (s)],philox (global) [worst avg (s)],philox_simd (global) [best avg (s)],philox_simd (global) [worst avg (s)],std::mt19937 [best avg (s)],std::mt19937 [worst avg (s)],xoshiro256** [best avg (s)],xoshiro256** [worst avg (s)],philox_simd (thread local) [best avg (s)],philox_simd (thread local) [worst avg (s)],philox (thread local) [best avg (s)],philox (thread local) [worst avg (s)],at::mt19937 [best avg (s)],at::mt19937 [worst avg (s)],pcg64 [best avg (s)],pcg64 [worst avg (s)]
134217728,1,0.438846215000,0.441670268000,0.176079051000,0.177087081000,1.608931441000,1.614354946000,0.650694426000,0.652267024000,0.187868855000,0.189947632000,0.438798840000,0.441773177000,0.392547162000,0.396496351000,0.658640301000,0.661066093000
134217728,2,0.328116981000,0.330486358500,0.130941078500,0.131141897000,1.164401683500,1.183472315000,0.460752953000,0.462895512000,0.093651963000,0.094072811000,0.218899128500,0.233709882000,0.294591330000,0.295151682500,0.482551432000,0.483429976000
134217728,4,0.272304297500,0.274948721250,0.107443143750,0.109035119750,0.970612571250,0.973779670250,0.383193433750,0.388113816750,0.047718357000,0.048885639500,0.110095915500,0.113309610000,0.244139208500,0.245877724250,0.399503329500,0.403115712000
134217728,8,0.243138460625,0.247262381750,0.095561969000,0.097039774500,0.872695083125,0.879698464250,0.343194009875,0.353580873000,0.023838850625,0.031005465875,0.055413833625,0.070957908250,0.216837341375,0.224401539625,0.361007850750,0.375891372625
134217728,16,0.228258191437,0.234566289063,0.090645299875,0.092752493812,0.827296938375,0.849801716687,0.323844601250,0.326305017625,0.014090205938,0.020300976312,0.039209328187,0.043513961875,0.205121012187,0.213206504625,0.338085197688,0.345835149000
134217728,32,0.224494577813,0.226625877969,0.090328670188,0.091267890500,0.828063868500,0.828443792656,0.319973904500,0.325577030437,0.007801399625,0.008574604437,0.021557454094,0.033237778094,0.199683714906,0.210243818656,0.329373768219,0.333746863031
134217728,64,0.220248942453,0.235688727422,0.089795995594,0.090501984109,0.814801211172,0.825747016234,0.316677059672,0.320642746828,0.004168601078,0.005019325219,0.014722127516,0.023961993234,0.197587035781,0.202617472141,0.325160797281,0.331295680281
134217728,128,0.219006525664,0.225107245836,0.088005173180,0.091242477148,0.807012184328,0.817098177906,0.309376211594,0.316986389430,0.001823837203,0.002338775117,0.007523687852,0.008096983273,0.197847185250,0.201761494547,0.324093806406,0.327294348883
134217728,256,0.219740310656,0.221412692754,0.088460961906,0.092568620949,0.805761378688,0.812107621418,0.316751184867,0.320962298273,0.001105497352,0.002439475871,0.003310461855,0.006037623480,0.197076285617,0.198398149043,0.324879926512,0.327376746598
134217728,512,0.218776490906,0.222174995324,0.088048552084,0.088949298896,0.797837307424,0.804865650182,0.312140265303,0.316322304492,0.000508793393,0.000778346283,0.001721908658,0.002749307988,0.196280257137,0.201675261240,0.328191870945,0.330056937027
134217728,1024,0.218251152129,0.221239634262,0.086873256096,0.089304173919,0.800771394490,0.804263566526,0.313371436541,0.318283464082,0.000241556439,0.000266792883,0.000708871494,0.000841734098,0.195364238758,0.200465542211,0.326640443126,0.328801617185
